iter	PairLogit	AverageGain:top=10
438	0.5061410366	0.3692528736
439	0.5054702583	0.3698275862
440	0.5049324328	0.3698275862
441	0.5043517432	0.3698275862
442	0.5039764163	0.3704022989
443	0.503236843	0.3698275862
444	0.5023259736	0.3698275862
445	0.5017407789	0.3689655172
446	0.5011735558	0.3704022989
447	0.5008186623	0.3704022989
448	0.5001011078	0.3706896552
449	0.4995880044	0.3706896552
450	0.4989300158	0.3706896552
451	0.4983734671	0.3709770115
452	0.4976193242	0.3715517241
453	0.4971004525	0.3712643678
454	0.4965288977	0.3721264368
455	0.4961425108	0.3721264368
456	0.4955392818	0.3718390805
457	0.4952035909	0.3718390805
458	0.4946199514	0.3729885057
459	0.4941350411	0.3735632184
460	0.4934736535	0.3732758621
461	0.4928254051	0.3727011494
462	0.4924918845	0.3729885057
463	0.4917831127	0.3724137931
464	0.491158481	0.374137931
465	0.4906397085	0.3747126437
466	0.4901209876	0.375
467	0.4896298191	0.3752873563
468	0.4890225174	0.3752873563
469	0.4885625907	0.3752873563
470	0.487949518	0.3747126437
471	0.4876245086	0.374137931
472	0.4870435495	0.3738505747
473	0.4866903349	0.374137931
474	0.4862915646	0.374137931
475	0.4857096338	0.374137931
476	0.4849953546	0.374137931
477	0.4846174927	0.374137931
478	0.4839340273	0.3747126437
479	0.4832307946	0.3752873563
480	0.4828980588	0.3744252874
481	0.4823549994	0.375
482	0.4816690471	0.375
483	0.4811129587	0.3744252874
484	0.4807152253	0.375
485	0.4802072186	0.375
486	0.4796015593	0.3764367816
487	0.4792778984	0.3764367816
488	0.478713013	0.3761494253
489	0.478410707	0.3761494253
490	0.4780877093	0.3764367816
491	0.4775217596	0.3767241379
492	0.4770535021	0.3770114943
493	0.47656268	0.3781609195
494	0.4759905945	0.3775862069
495	0.4752981432	0.3775862069
496	0.4746527623	0.3787356322
497	0.4743426889	0.3787356322
498	0.4739202782	0.3775862069
499	0.4732152937	0.3793103448
500	0.472703781	0.3793103448
501	0.4723465349	0.3798850575
502	0.47175194	0.3810344828
503	0.4713586341	0.3807471264
504	0.4709300715	0.3813218391
505	0.4705129454	0.3813218391
506	0.4700629231	0.3833333333
507	0.4694862117	0.383045977
508	0.4691501489	0.383045977
509	0.4689054307	0.3810344828
510	0.4684714256	0.3818965517
511	0.4679096456	0.382183908
512	0.46744853	0.3816091954
513	0.466865101	0.3827586207
514	0.4665040481	0.382183908
515	0.4660534537	0.3816091954
516	0.4654855802	0.3816091954
517	0.4649612013	0.382183908
518	0.4645526245	0.3824712644
519	0.4641517794	0.3827586207
520	0.4634910841	0.3827586207
521	0.4631713469	0.3833333333
522	0.4628096468	0.383908046
523	0.462306399	0.3836206897
524	0.4617956832	0.383045977
525	0.4612634175	0.383908046
526	0.4608430977	0.3853448276
527	0.4602589616	0.3844827586
528	0.4599453126	0.3847701149
529	0.4594836087	0.3844827586
530	0.4592147313	0.3847701149
531	0.4587465601	0.3853448276
532	0.4583518178	0.3853448276
533	0.4579620831	0.3850574713
534	0.4575574196	0.3859195402
535	0.4572029788	0.3847701149
536	0.4569679898	0.3847701149
537	0.4564211109	0.3847701149
538	0.4559337986	0.3859195402
539	0.4555456576	0.3856321839
540	0.4551902749	0.3862068966
541	0.4547110126	0.3856321839
542	0.4544589861	0.3853448276
543	0.4540806787	0.3862068966
544	0.4536023928	0.3870689655
545	0.4532963281	0.3870689655
546	0.4528058509	0.3859195402
547	0.4523516649	0.3856321839
548	0.4521607251	0.3867816092
549	0.4516328878	0.3867816092
550	0.4512474428	0.3879310345
551	0.4508067098	0.3879310345
552	0.4504125156	0.3893678161
553	0.4500702396	0.3887931034
554	0.4498100832	0.3887931034
555	0.4494813884	0.3893678161
556	0.4491034279	0.3893678161
557	0.4484265709	0.3885057471
558	0.4480323097	0.3882183908
559	0.4475433741	0.3882183908
560	0.4471700535	0.3879310345
561	0.4467201906	0.3876436782
562	0.4465263281	0.3876436782
563	0.4461590869	0.3876436782
564	0.4457136193	0.3885057471
565	0.4453831866	0.3882183908
566	0.4447920447	0.3899425287
567	0.4442904379	0.3902298851
568	0.4439254662	0.3902298851
569	0.4433889394	0.3902298851
570	0.4431261289	0.391091954
571	0.4426036217	0.3896551724
572	0.4421746639	0.3902298851
573	0.4419253439	0.3899425287
574	0.4416830192	0.3908045977
575	0.4413548673	0.3908045977
576	0.4411184842	0.391091954
577	0.4407939487	0.391091954
578	0.4403824166	0.391954023
579	0.440018046	0.3922413793
580	0.4397274092	0.3922413793
581	0.4393288699	0.3922413793
582	0.4391560257	0.392816092
583	0.4387364899	0.3916666667
584	0.4384180428	0.3913793103
585	0.4379800184	0.391954023
586	0.4373142979	0.3913793103
587	0.4368175398	0.391954023
588	0.4365086403	0.3922413793
589	0.4361507017	0.391954023
590	0.4358949762	0.3922413793
591	0.4355372259	0.392816092
592	0.435017437	0.3922413793
593	0.434740554	0.3931034483
594	0.4345283951	0.3922413793
595	0.4342487558	0.3922413793
596	0.4339916642	0.3922413793
597	0.4335760361	0.3925287356
598	0.4331623477	0.391954023
599	0.432651024	0.3925287356
600	0.4322861867	0.3936781609
601	0.4319233042	0.3931034483
602	0.4316135505	0.3931034483
603	0.4312811083	0.3936781609
604	0.4310622011	0.3931034483
605	0.4308477198	0.3931034483
606	0.4306203692	0.3931034483
607	0.4302906584	0.3942528736
608	0.4299006044	0.3945402299
609	0.4295318911	0.3936781609
610	0.4290705316	0.3939655172
611	0.4287958029	0.3942528736
612	0.4285375313	0.3939655172
613	0.428022223	0.3942528736
614	0.4276969237	0.3954022989
615	0.4272039064	0.3954022989
616	0.4267768108	0.3951149425
617	0.4264754735	0.3954022989
618	0.4259270716	0.3951149425
619	0.4254355966	0.3954022989
620	0.4247906878	0.3956896552
621	0.4242415504	0.3965517241
622	0.4239722125	0.3971264368
623	0.4236090291	0.3979885057
624	0.4233394236	0.3979885057
625	0.4230160448	0.3979885057
626	0.4227307242	0.3979885057
627	0.4223994476	0.3979885057
628	0.4221554815	0.3988505747
629	0.4218635783	0.3994252874
630	0.4216545713	0.3997126437
631	0.4214329192	0.3994252874
632	0.4211559523	0.3994252874
633	0.4208511871	0.3994252874
634	0.4204649782	0.3997126437
635	0.4201788786	0.4
636	0.4198728487	0.4
637	0.4193922865	0.4
638	0.4189322173	0.3988505747
639	0.4186256508	0.3994252874
640	0.4183818951	0.3982758621
641	0.4179847507	0.3979885057
642	0.4175511792	0.3977011494
643	0.4172246873	0.3982758621
644	0.4169028114	0.3988505747
645	0.4165829605	0.3985632184
646	0.4162203744	0.3985632184
647	0.4157276206	0.3988505747
648	0.4155280128	0.3994252874
