iter	QueryRMSE	AverageGain:top=10
481	0.1595572084	0.3965517241
482	0.1595171695	0.3962643678
483	0.1594920092	0.3965517241
484	0.1594500211	0.3965517241
485	0.1594480841	0.3965517241
486	0.1594161481	0.3968390805
487	0.1593892557	0.3968390805
488	0.159345731	0.3971264368
489	0.1593110416	0.3974137931
490	0.1592796415	0.3979885057
491	0.1592570509	0.3985632184
492	0.1592082346	0.399137931
493	0.1591665172	0.3985632184
494	0.1591379101	0.3988505747
495	0.159113425	0.3988505747
496	0.1590737927	0.3988505747
497	0.1590380095	0.3994252874
498	0.1590084148	0.399137931
499	0.1590063965	0.399137931
500	0.1589696566	0.3997126437
501	0.1589452494	0.3997126437
502	0.1589212883	0.3997126437
503	0.1589154539	0.3997126437
504	0.1588926841	0.3997126437
505	0.158870715	0.399137931
506	0.1588685263	0.399137931
507	0.1588295651	0.399137931
508	0.1588277885	0.399137931
509	0.1588260352	0.399137931
510	0.158824328	0.399137931
511	0.1588225097	0.399137931
512	0.1587995842	0.399137931
513	0.1587705783	0.399137931
514	0.1587302553	0.3988505747
515	0.1587287158	0.3988505747
516	0.1586809497	0.3997126437
517	0.1586686089	0.4002873563
518	0.1586497236	0.4002873563
519	0.1586065792	0.3994252874
520	0.1585644631	0.4
521	0.1585432407	0.4002873563
522	0.158509798	0.4002873563
523	0.1584846658	0.4002873563
524	0.1584508238	0.3997126437
525	0.1584047004	0.4
526	0.1583489078	0.4002873563
527	0.158322864	0.4002873563
528	0.1582868246	0.4002873563
529	0.1582574476	0.4005747126
530	0.1582224997	0.4005747126
531	0.1582209251	0.4005747126
532	0.1582189804	0.4005747126
533	0.1581917338	0.400862069
534	0.1581679996	0.4005747126
535	0.1581197103	0.4011494253
536	0.1580798081	0.4014367816
537	0.1580399361	0.4011494253
538	0.1580385537	0.4011494253
539	0.1579989833	0.4011494253
540	0.1579703801	0.4011494253
541	0.1579379336	0.4011494253
542	0.1579005755	0.4014367816
543	0.1578657997	0.400862069
544	0.1578347848	0.400862069
545	0.1577820717	0.4014367816
546	0.157738753	0.4014367816
547	0.1577180982	0.4014367816
548	0.1576756309	0.4011494253
549	0.1576398546	0.4011494253
550	0.1576023895	0.4011494253
551	0.1576009292	0.4011494253
552	0.1575605427	0.4011494253
553	0.1575569865	0.4011494253
554	0.1575255471	0.4014367816
555	0.1574891545	0.4017241379
556	0.1574630099	0.4020114943
557	0.1574050181	0.4022988506
558	0.15736591	0.4031609195
559	0.1573380305	0.4037356322
560	0.1573012699	0.4051724138
561	0.1572537815	0.4063218391
562	0.1572107781	0.4057471264
563	0.1571858914	0.4051724138
564	0.1571566072	0.4048850575
565	0.1571264716	0.4051724138
566	0.1571117969	0.4048850575
567	0.1570888503	0.4051724138
568	0.1570554877	0.4048850575
569	0.1570274315	0.4043103448
570	0.1570048517	0.4048850575
571	0.1569700212	0.4040229885
572	0.1569685957	0.4043103448
573	0.1569425354	0.4043103448
574	0.1569207909	0.4043103448
575	0.1568992258	0.4040229885
576	0.1568542391	0.4045977011
577	0.1568172147	0.4040229885
578	0.1567963669	0.4048850575
579	0.1567607975	0.4048850575
580	0.1567225114	0.4054597701
581	0.1566823721	0.4063218391
582	0.156640834	0.4066091954
583	0.1565977251	0.4063218391
584	0.156564206	0.4066091954
585	0.1565472091	0.4066091954
586	0.1565110098	0.4066091954
587	0.1565096789	0.4066091954
588	0.15650836	0.4066091954
589	0.1565071238	0.4066091954
590	0.1564789025	0.4063218391
591	0.1564527477	0.407183908
592	0.1564148761	0.4066091954
593	0.156380379	0.4068965517
594	0.1563474204	0.4068965517
595	0.1563197654	0.4066091954
596	0.1563183714	0.4068965517
597	0.1562867317	0.4066091954
598	0.156270447	0.4066091954
599	0.1562357808	0.4066091954
600	0.156213658	0.4066091954
601	0.1561723646	0.4068965517
602	0.1561489666	0.4068965517
603	0.1561219873	0.407183908
604	0.1560900431	0.4068965517
605	0.1560621887	0.407183908
606	0.1560311465	0.4074712644
607	0.1559940016	0.4074712644
608	0.1559460837	0.4077586207
609	0.1559121195	0.4074712644
610	0.1558782128	0.408045977
611	0.1558405456	0.4083333333
612	0.1558270412	0.4086206897
613	0.1557903785	0.4083333333
614	0.1557539759	0.4086206897
615	0.15572701	0.4083333333
616	0.1556926437	0.4083333333
617	0.1556492113	0.408908046
618	0.1556243296	0.4094827586
619	0.1555993905	0.4100574713
620	0.1555758528	0.4100574713
621	0.1555378939	0.4103448276
622	0.1555060329	0.4103448276
623	0.1555047849	0.4103448276
624	0.1554868264	0.4103448276
625	0.1554670741	0.4100574713
626	0.1554361161	0.4100574713
627	0.1553965356	0.4100574713
628	0.1553620424	0.4100574713
629	0.1553264317	0.4100574713
630	0.1552979715	0.4103448276
631	0.1552550558	0.4106321839
632	0.1552355393	0.4106321839
633	0.1552041475	0.4106321839
634	0.1551706195	0.4103448276
635	0.1551261696	0.4103448276
636	0.1551050432	0.4106321839
637	0.1550871137	0.4106321839
638	0.1550638861	0.4109195402
639	0.155035752	0.4109195402
640	0.1550031554	0.4106321839
641	0.1549948031	0.4106321839
642	0.1549678665	0.4109195402
643	0.1549586802	0.4112068966
644	0.1549155927	0.4117816092
645	0.1548838948	0.4114942529
646	0.1548523939	0.4109195402
647	0.1548221476	0.4109195402
648	0.1547725065	0.4117816092
649	0.1547282621	0.4114942529
650	0.1546847038	0.4129310345
651	0.1546500197	0.4129310345
652	0.1545962316	0.4129310345
653	0.1545758386	0.4129310345
654	0.1545398407	0.4129310345
655	0.1545032552	0.4129310345
656	0.1544510549	0.4135057471
657	0.1544223249	0.4135057471
658	0.1544095962	0.4135057471
659	0.1543764296	0.4135057471
660	0.1543394196	0.4135057471
661	0.1543085054	0.4132183908
662	0.1542654827	0.4135057471
663	0.1542324246	0.4140804598
664	0.1542246018	0.4143678161
665	0.1541920936	0.4146551724
666	0.154174002	0.4143678161
667	0.1541231957	0.4143678161
668	0.1540964965	0.4143678161
669	0.1540665822	0.4140804598
670	0.1540332871	0.4146551724
671	0.1540121973	0.4152298851
672	0.1539834516	0.4149425287
673	0.1539447437	0.4146551724
674	0.1539143274	0.4149425287
675	0.1538940366	0.4152298851
676	0.1538767989	0.4158045977
677	0.1538240633	0.416091954
678	0.1537960904	0.4163793103
679	0.1537674127	0.4166666667
680	0.1537479607	0.4172413793
681	0.1537154504	0.417816092
682	0.1536720954	0.4183908046
683	0.1536394411	0.4186781609
684	0.1535902926	0.4181034483
685	0.153543912	0.4186781609
686	0.1535092415	0.4192528736
687	0.1534859723	0.4195402299
688	0.1534494797	0.4195402299
689	0.1534196488	0.4192528736
690	0.1533886899	0.4186781609
691	0.1533669824	0.4192528736
692	0.153319449	0.4195402299
693	0.1532891123	0.4198275862
694	0.1532571839	0.4201149425
695	0.1532245574	0.4206896552
696	0.1531771415	0.4198275862
697	0.1531479597	0.4206896552
698	0.1531467228	0.4206896552
699	0.1531103182	0.4206896552
700	0.1530936442	0.4206896552
701	0.1530717395	0.4204022989
702	0.1530532899	0.4201149425
703	0.153011234	0.4201149425
704	0.152971554	0.4195402299
705	0.1529463878	0.4198275862
706	0.1529191462	0.4201149425
707	0.1528951397	0.4201149425
708	0.1528605715	0.4201149425
709	0.1528593779	0.4201149425
710	0.1528362085	0.4201149425
711	0.1527907545	0.4204022989
712	0.1527655948	0.4204022989
713	0.1527290664	0.4206896552
714	0.1527000813	0.4206896552
715	0.1526572829	0.4206896552
716	0.1526479474	0.4206896552
717	0.1526101657	0.4206896552
718	0.1525809633	0.4206896552
719	0.1525430238	0.4209770115
720	0.1525175709	0.4215517241
721	0.1524910504	0.4212643678
722	0.1524900338	0.4212643678
723	0.1524581464	0.4215517241
724	0.1524571124	0.4215517241
725	0.152455852	0.4215517241
726	0.1524382988	0.4215517241
727	0.1524026999	0.4215517241
728	0.1523705848	0.4215517241
729	0.1523370431	0.4215517241
730	0.1523136635	0.4218390805
731	0.1522812678	0.4215517241
732	0.1522382834	0.4221264368
733	0.1522065634	0.4221264368
734	0.152176566	0.4218390805
735	0.1521340459	0.4215517241
736	0.1521024583	0.4215517241
737	0.1520786698	0.4215517241
738	0.1520537123	0.4215517241
739	0.1520287535	0.4218390805
740	0.1520276355	0.4218390805
741	0.1520044794	0.4221264368
742	0.1519753983	0.4221264368
