iter	Passed	Remaining
1151	8225	6054
1152	8232	6047
1153	8239	6040
1154	8246	6032
1155	8252	6025
1156	8259	6017
1157	8266	6010
1158	8273	6003
1159	8280	5996
1160	8286	5988
1161	8293	5980
1162	8299	5973
1163	8307	5966
1164	8313	5958
1165	8320	5951
1166	8326	5943
1167	8335	5937
1168	8342	5930
1169	8348	5922
1170	8354	5914
1171	8361	5907
1172	8368	5900
1173	8375	5892
1174	8382	5885
1175	8388	5877
1176	8396	5870
1177	8403	5863
1178	8410	5856
1179	8417	5849
1180	8423	5841
1181	8430	5834
1182	8436	5826
1183	8443	5819
1184	8450	5811
1185	8456	5804
1186	8463	5796
1187	8470	5789
1188	8478	5782
1189	8484	5775
1190	8491	5767
1191	8497	5760
1192	8504	5753
1193	8511	5745
1194	8518	5738
1195	8525	5730
1196	8532	5723
1197	8539	5716
1198	8545	5709
1199	8552	5701
1200	8559	5694
1201	8566	5687
1202	8573	5680
1203	8580	5672
1204	8586	5665
1205	8593	5657
1206	8602	5651
1207	8609	5644
1208	8616	5637
1209	8623	5630
1210	8631	5623
1211	8637	5616
1212	8644	5608
1213	8651	5601
1214	8658	5594
1215	8666	5587
1216	8673	5580
1217	8680	5573
1218	8687	5566
1219	8695	5559
1220	8702	5552
1221	8709	5544
1222	8716	5537
1223	8724	5531
1224	8730	5523
1225	8738	5516
1226	8745	5509
1227	8752	5502
1228	8760	5495
1229	8768	5489
1230	8775	5481
1231	8782	5474
1232	8789	5467
1233	8797	5460
1234	8806	5455
1235	8814	5448
1236	8821	5441
1237	8829	5434
1238	8836	5427
1239	8843	5420
1240	8850	5413
1241	8858	5406
1242	8865	5399
1243	8873	5392
1244	8879	5385
1245	8887	5378
1246	8894	5370
1247	8901	5363
1248	8909	5356
1249	8916	5350
1250	8923	5342
1251	8931	5336
1252	8938	5329
1253	8946	5322
1254	8953	5315
1255	8961	5308
1256	8968	5301
1257	8995	5305
1258	9002	5298
1259	9010	5291
1260	9017	5284
1261	9024	5277
1262	9032	5270
1263	9038	5263
1264	9045	5255
1265	9052	5248
1266	9058	5240
1267	9066	5233
1268	9072	5226
1269	9079	5218
1270	9086	5211
1271	9093	5204
1272	9100	5197
1273	9106	5189
1274	9114	5182
1275	9120	5174
1276	9127	5167
1277	9134	5160
1278	9141	5153
1279	9148	5145
1280	9154	5138
1281	9162	5131
1282	9169	5124
1283	9175	5116
1284	9182	5109
1285	9188	5101
1286	9196	5094
1287	9203	5087
1288	9209	5079
1289	9216	5072
1290	9223	5065
1291	9230	5058
1292	9237	5050
1293	9243	5043
1294	9250	5036
1295	9257	5028
1296	9266	5022
1297	9273	5015
1298	9280	5008
1299	9287	5000
1300	9295	4994
1301	9302	4986
1302	9309	4979
1303	9316	4972
1304	9324	4965
1305	9331	4958
1306	9338	4951
1307	9345	4944
1308	9351	4936
1309	9359	4929
1310	9366	4922
1311	9373	4915
1312	9379	4907
1313	9386	4900
1314	9394	4893
1315	9401	4886
1316	9408	4879
1317	9415	4872
1318	9422	4864
1319	9429	4857
1320	9435	4850
1321	9442	4842
1322	9448	4835
1323	9455	4827
1324	9462	4820
1325	9469	4813
1326	9475	4805
1327	9482	4798
1328	9489	4791
1329	9496	4783
1330	9503	4776
1331	9509	4769
1332	9516	4761
1333	9524	4755
1334	9531	4747
1335	9537	4740
1336	9544	4732
1337	9551	4725
1338	9558	4718
1339	9565	4711
