iter	RMSE	AverageGain:top=10
499	0.1434793731	0.4413285145
500	0.1434087132	0.4412464046
501	0.1433415372	0.4395314922
502	0.1432816715	0.4409592683
503	0.1432418868	0.4412464046
504	0.1431739568	0.44103308
505	0.1431398707	0.44103308
506	0.1431373234	0.44103308
507	0.1431124837	0.4415086748
508	0.1430838753	0.4406540619
509	0.1430226471	0.4410648104
510	0.1429804188	0.4410836673
511	0.1429322979	0.4410836673
512	0.1428937053	0.4407737734
513	0.1428450329	0.4413408355
514	0.1427755472	0.442043551
515	0.1427248055	0.4421504682
516	0.1427004744	0.4420644736
517	0.1426588298	0.4430791395
518	0.1426171157	0.442854705
519	0.1425343972	0.4435081671
520	0.14247939	0.4433118433
521	0.1424479924	0.4437014434
522	0.1424077042	0.4437014434
523	0.1423542309	0.4437014434
524	0.1423014374	0.4441814622
525	0.1422981902	0.4441814622
526	0.1422280586	0.4438832187
527	0.1422271049	0.4438832187
528	0.1421682372	0.4432713591
529	0.1420990344	0.4434514714
530	0.1420606025	0.4444318964
531	0.141979394	0.4441367629
532	0.14191413	0.4441367629
533	0.1418583943	0.4441367629
534	0.1418147458	0.4441367629
535	0.1417552029	0.4444915643
536	0.1417189083	0.4443437728
537	0.1416865533	0.4451934108
538	0.1416523144	0.4448386094
539	0.1415990486	0.4451934108
540	0.1415509578	0.4451934108
541	0.1415032017	0.4451284347
542	0.1414603405	0.4451284347
543	0.1414124329	0.4451284347
544	0.1413607761	0.4441603754
545	0.1413019768	0.4435224262
546	0.1412440931	0.4441733211
547	0.1412433854	0.4441733211
548	0.141187143	0.4444381327
549	0.1411864702	0.4444381327
550	0.1410984733	0.4437781707
551	0.1410493118	0.4442123415
552	0.1409838965	0.4445671429
553	0.1409204414	0.4449401992
554	0.1408922012	0.4443589989
555	0.1408291171	0.4439248281
556	0.1408281993	0.4439248281
557	0.1407599484	0.4448566451
558	0.1407593151	0.4448566451
559	0.1406972177	0.4445978286
560	0.1406761714	0.445179029
561	0.1406498227	0.445179029
562	0.1406016286	0.445179029
563	0.1405266041	0.4460881913
564	0.1404816231	0.4460881913
565	0.1404123192	0.4462359828
566	0.1403717236	0.4469360041
567	0.1403232612	0.4462904356
568	0.1403082693	0.4462904356
569	0.1402351843	0.446928768
570	0.1401971815	0.4478213954
571	0.1401772795	0.4478213954
572	0.1401403307	0.4480694148
573	0.1400801436	0.4493009021
574	0.1400240786	0.4493009021
575	0.1399947483	0.4493009021
576	0.1399291931	0.4497247839
577	0.1398883906	0.4493699825
578	0.1398358242	0.4491428616
579	0.1398122355	0.449497663
580	0.1397790231	0.4493009021
581	0.1397415933	0.4493009021
582	0.1397001126	0.4491099097
583	0.1396561475	0.4496213729
584	0.1396196409	0.4492665716
585	0.139572194	0.4494936924
586	0.1395493466	0.4500093088
587	0.1395155587	0.4500742849
588	0.1394736009	0.4501075065
589	0.1394167111	0.4503593015
590	0.139367183	0.4500448274
591	0.1392938875	0.4496904533
592	0.1392394916	0.4501412077
593	0.1391921846	0.4505467988
594	0.1391485782	0.4505467988
595	0.1391473362	0.4505467988
596	0.1390556198	0.4488889896
597	0.1390019352	0.4491161104
598	0.1389650323	0.4491161104
599	0.1389325256	0.4491161104
600	0.1389303217	0.4491161104
601	0.1388907268	0.4491161104
602	0.138850469	0.4489561091
603	0.1388156009	0.448761309
604	0.1388148255	0.448761309
605	0.1387818185	0.4498926575
606	0.1387371097	0.4498926575
607	0.1386853148	0.4503124349
608	0.1386287656	0.4502474589
609	0.138627811	0.4502474589
610	0.1385914802	0.4496317269
611	0.1385905745	0.4496317269
612	0.1385200836	0.4502051044
613	0.1384760221	0.4513364529
614	0.1384212617	0.4513364529
615	0.1383703002	0.4510529219
616	0.1382988844	0.4510529219
617	0.1382446721	0.4513364529
618	0.138184075	0.4511093321
619	0.1381609398	0.4508403442
620	0.1381246434	0.4513069844
621	0.138083121	0.4509836513
622	0.1380355953	0.4508540576
623	0.1379819261	0.4507877011
624	0.1379383223	0.451022065
625	0.1379376837	0.451022065
626	0.1379364465	0.451022065
627	0.1378904265	0.451022065
628	0.1378130553	0.4522729657
629	0.1377381256	0.4519705778
630	0.1376869362	0.4526429677
631	0.1376275538	0.4527248101
632	0.1375779314	0.4524412791
633	0.1374900981	0.4524246462
634	0.1374884547	0.4524246462
635	0.1374735485	0.4524246462
636	0.1374031549	0.4524246462
637	0.1373398686	0.4524246462
638	0.1372871542	0.4520906081
639	0.1372395317	0.4520636675
640	0.1372028309	0.4519279249
641	0.1371500834	0.4519279249
642	0.1371323626	0.452370746
643	0.1370739909	0.452370746
644	0.1370396692	0.4522889036
645	0.1369972755	0.4528748225
646	0.1369645042	0.4528748225
647	0.1369636495	0.4528748225
648	0.1369194244	0.4529566649
649	0.1368572841	0.4526608423
650	0.1368051032	0.4529326824
651	0.1367379931	0.4532730152
652	0.1366787599	0.4526845119
653	0.1366522321	0.4530349002
654	0.1366054077	0.4535463634
655	0.1365881331	0.4535463634
656	0.1365578124	0.4535463634
657	0.1365013492	0.4535463634
658	0.1364367018	0.4538182035
659	0.1364092179	0.4531329071
660	0.136371772	0.4536443703
661	0.1363329457	0.4536443703
662	0.1363052084	0.4536443703
663	0.1362094357	0.4538391703
664	0.1361681371	0.4535314855
665	0.1361346966	0.4532596454
666	0.1360982797	0.4532596454
667	0.1360929452	0.4532596454
668	0.1360460924	0.4532596454
669	0.1360122664	0.4539047105
670	0.1359596787	0.4539047105
671	0.1359235041	0.4539047105
672	0.1358992759	0.4539047105
673	0.1358667607	0.4539047105
674	0.1358192274	0.4539047105
675	0.1357752268	0.4539047105
676	0.1357052194	0.4542146044
677	0.1356734161	0.4548550778
678	0.1356184623	0.4557851676
679	0.1356170924	0.4557851676
680	0.1355692927	0.4562187223
681	0.1355687043	0.4562187223
682	0.1355372906	0.4562187223
683	0.1355082752	0.4562187223
684	0.1354615712	0.4568103676
685	0.1354067618	0.4563302084
686	0.135359799	0.4567056757
687	0.1353235249	0.4569125914
688	0.1352428329	0.4567228731
689	0.1351971254	0.4567906555
690	0.1351503683	0.4571074265
691	0.1350753417	0.4568215017
692	0.1350490612	0.4568215017
693	0.135019974	0.4569558444
694	0.1349872774	0.4566390733
695	0.1349561233	0.4569558444
696	0.1349235232	0.4566390733
