iter	AverageGain:top=10
880	0.457183908
881	0.4574712644
882	0.4574712644
883	0.4574712644
884	0.4577586207
885	0.4577586207
886	0.4577586207
887	0.4577586207
888	0.4586206897
889	0.4577586207
890	0.4577586207
891	0.458045977
892	0.4577586207
893	0.4577586207
894	0.4577586207
895	0.4583333333
896	0.4583333333
897	0.458045977
898	0.458045977
899	0.4577586207
900	0.4577586207
901	0.458908046
902	0.4586206897
903	0.4586206897
904	0.4586206897
905	0.4594827586
906	0.4591954023
907	0.4600574713
908	0.4594827586
909	0.4597701149
910	0.4600574713
911	0.4600574713
912	0.4594827586
913	0.4591954023
914	0.4591954023
915	0.4597701149
916	0.4600574713
917	0.4600574713
918	0.4594827586
919	0.4594827586
920	0.4594827586
921	0.4594827586
922	0.4594827586
923	0.4594827586
924	0.4597701149
925	0.4597701149
926	0.4600574713
927	0.4594827586
928	0.4594827586
929	0.4597701149
930	0.4597701149
931	0.4600574713
932	0.4600574713
933	0.4600574713
934	0.4606321839
935	0.4606321839
936	0.4609195402
937	0.4597701149
938	0.4600574713
939	0.4600574713
940	0.4609195402
941	0.4606321839
942	0.4606321839
943	0.4606321839
944	0.4609195402
945	0.4609195402
946	0.4606321839
947	0.4603448276
948	0.4603448276
949	0.4606321839
950	0.4606321839
951	0.4609195402
952	0.4609195402
953	0.4603448276
954	0.4606321839
955	0.4603448276
956	0.4612068966
957	0.4606321839
958	0.4606321839
959	0.4612068966
960	0.4614942529
961	0.4614942529
962	0.4614942529
963	0.4614942529
964	0.4614942529
965	0.4614942529
966	0.4609195402
967	0.4614942529
968	0.4620689655
969	0.4620689655
970	0.4617816092
971	0.4617816092
972	0.4617816092
973	0.4617816092
974	0.4620689655
975	0.4617816092
976	0.4617816092
977	0.4620689655
978	0.4617816092
979	0.4623563218
980	0.4617816092
981	0.4617816092
982	0.4620689655
983	0.4620689655
984	0.4617816092
985	0.4617816092
986	0.4617816092
987	0.4620689655
988	0.4623563218
989	0.4623563218
990	0.4620689655
991	0.4623563218
992	0.4626436782
993	0.4626436782
994	0.4623563218
995	0.4623563218
996	0.4617816092
997	0.4620689655
998	0.4623563218
999	0.4620689655
1000	0.4632183908
1001	0.4629310345
1002	0.4637931034
1003	0.4640804598
1004	0.4637931034
1005	0.4637931034
1006	0.4635057471
1007	0.4635057471
1008	0.4635057471
1009	0.4637931034
1010	0.4637931034
1011	0.4629310345
1012	0.4637931034
1013	0.4637931034
1014	0.4637931034
1015	0.4632183908
1016	0.4632183908
1017	0.4635057471
1018	0.4643678161
1019	0.4637931034
1020	0.4640804598
1021	0.4640804598
1022	0.4637931034
1023	0.4637931034
1024	0.4637931034
1025	0.4637931034
1026	0.4640804598
1027	0.4640804598
1028	0.4640804598
1029	0.4640804598
1030	0.4640804598
1031	0.4649425287
1032	0.4649425287
1033	0.4649425287
